,"Benchmark: Buy & Hold (fair, 1-bar delayed execution)",Strategy: Hybrid Main,Baseline: MA(50/200),Appendix: Hybrid Main (volume confirm),Appendix: Hybrid Main (patterns)
2016,2.676103698416328,1.2721976866483287,0.21454586789197583,1.1766806686428897,0.630343881516608
2017,0.9042632880581041,0.3652153041258106,0.904263288058101,0.3652153041258095,0.16065600706487837
2018,-0.3284549729853785,0.07840608703809782,0.0010861051652661935,0.07840608703809715,-0.04224460829128274
2019,0.7340990497541777,0.18181845255256013,0.37381818839720915,0.17107123837261495,0.07694851557770233
2020,1.1802414836432051,0.37770306171391743,1.1802414836432056,0.3777030617139172,0.17174409249993272
2021,1.2447624479103605,0.6469237118199767,1.2447624479103636,0.6469237118199753,0.5840139468360368
2022,-0.5143697823570238,-0.1392591537219322,-0.2870450753977386,-0.15553222141483958,-0.05851792619111662
2023,2.3591409594613726,0.5925906697567551,1.5627387065054128,0.5925906697567547,0.28091900977439166
2024,1.7887410705661342,0.6765896941963643,1.788741070566131,0.6765896941963676,0.5940484604271705
2025,0.3487891209312044,0.13947688187730556,0.012368785067762289,0.12962604956498613,0.15671157660581247
2026,0.012073067014078065,0.005302217608746274,0.012073067014078287,0.005302217608746274,0.019107027784285524
