,"Benchmark: Buy & Hold (fair, 1-bar delayed execution)",Strategy: Hybrid Main
2016,2.676103698416328,1.2721976866483287
2017,0.9042632880581041,0.3652153041258106
2018,-0.3284549729853785,0.07840608703809782
2019,0.7340990497541777,0.18181845255256013
2020,1.1802414836432051,0.37770306171391743
2021,1.2447624479103605,0.6469237118199767
2022,-0.5143697823570238,-0.1392591537219322
2023,2.3591409594613726,0.5925906697567551
2024,1.7887410705661342,0.6765896941963643
2025,0.3487891209312044,0.13947688187730556
2026,0.012073067014078065,0.005302217608746274
