split,name,start,end,equity_end,total_return,CAGR,Sharpe,vol,max_drawdown,hit_rate,num_trades,avg_holding_days,exposure,turnover_sum,skew,kurt_excess
train,"Benchmark: Buy & Hold (fair, 1-bar delayed execution)",2016-02-01,2019-12-31,8.1898166823611,7.1898166823611,0.7117145676400143,1.4257211233673222,0.44581420679210726,-0.5603844535750566,1.0,1.0,1428.0,0.9989868287740629,1.0,0.9170425934616865,17.56060021638787
train,Strategy: Hybrid Main,2016-02-01,2019-12-31,3.9599958964342723,2.9599958964342723,0.4215749782666163,1.6325971761578049,0.23125214932162885,-0.15349743867941013,1.0,2.0,532.0,0.7477203647416414,21.399935104062727,3.4612103347703247,41.620766542712786
val,"Benchmark: Buy & Hold (fair, 1-bar delayed execution)",2020-01-02,2022-12-30,2.4929198357612945,1.4929198357612945,0.356965518009003,0.8245188438117567,0.5591211785951471,-0.6633509453825668,1.0,1.0,1093.0,1.0,0.0,0.03704324595950022,2.11426669790249
val,Strategy: Hybrid Main,2020-01-02,2022-12-30,2.015428744920357,1.015428744920357,0.2638952453294561,1.3084699161060627,0.19276813852759989,-0.16145469280111635,0.3333333333333333,9.0,84.44444444444444,0.7063492063492064,16.712261053963324,0.39151346184279057,4.850507173629723
test,"Benchmark: Buy & Hold (fair, 1-bar delayed execution)",2023-01-04,2026-01-30,13.091645743197232,12.091645743197232,1.3100450671429762,1.9393665974753909,0.49681127744583675,-0.36881026715446663,1.0,1.0,1122.0,1.0,0.0,0.8135961722548826,8.172752588563002
test,Strategy: Hybrid Main,2023-01-04,2026-01-30,3.0755719220238076,2.0755719220238076,0.4415736531539576,1.7527439910172526,0.22376791230851834,-0.14457836651327827,0.5,4.0,251.5,0.8975356679636836,17.359894485273102,1.3175083576175504,15.205587952941018
